id,tweet_created_at,text,user,bio,location,hashtags,user_mentions,in_reply,protected,followers_count,friends_count,listed_count,created_at,favourites_count,geo_enabled,verified,statuses_count,coordinates,is_quote_status,retweet_count,retweeted,lang,source,place,kwd
1601532325241950209,2022-12-10 11:00:36+00:00,"@mcbenwell @TheTotallyShow Unsurprisingly, this has been all over the internet. It is just part and parcel of Argentine footballing culture. However, an Argentina v. England final would be interesting. #WorldCup #Argentina #England #football",DrLouiseClare1,"Historian looking at Argentine, British and US media reporting during the Falklands/Malvinas Conflict.",,[],2,1601522551796412416,False,204,302,0,2022-04-01 17:26:09+00:00,2047,False,False,1187,,False,0,False,en,Twitter for iPhone,,w
1601532314613334018,2022-12-10 11:00:33+00:00,"All the best to England playing in the quarter-finals of the #worldcup against France today. 

#england #qatar2022 #football https://t.co/YDglxTESJy",bookajet,Enjoy freedom without responsibility and let your imagination fly with our private jet charter & management service. Call 01252 399 600 or fly@bookajet.com,Farnborough Airport,"[{'text': 'worldcup', 'indices': [61, 70]}, {'text': 'england', 'indices': [95, 103]}, {'text': 'qatar2022', 'indices': [104, 114]}]",0,,False,1235,2079,23,2009-12-07 13:19:31+00:00,226,True,False,959,,False,0,False,en,Hootsuite Inc.,,w
1601532312696811520,2022-12-10 11:00:33+00:00,"1/It's Matchday⚽️

Show support to your #worldcup team &amp; Win $500 in #UFT🎉

🏦Fans can lend &amp; borrow #ARG #BRT #VATRENI #NED on #UniLendV2 testnet

💰Participate:https://t.co/gEjudmDuML

Testnet:https://t.co/l7v9Hgoyhz

Claim tokens from @ChainDropFaucet: https://t.co/CdhEzVrRqb https://t.co/HcJvs56DH5",0xNeverWinn,@GaHunter688 suspended,,"[{'text': 'worldcup', 'indices': [61, 70]}, {'text': 'UFT', 'indices': [94, 98]}, {'text': 'ARG', 'indices': [129, 133]}, {'text': 'BRT', 'indices': [134, 138]}, {'text': 'VATRENI', 'indices': [139, 147]}]",1,,False,51,2693,0,2022-09-24 19:50:58+00:00,3445,False,False,8442,,False,4472,False,en,Twitter Web App,,w
1601532303762677762,2022-12-10 11:00:30+00:00,"Good Luck England ⚽⚽⚽
 #Itscominghome #Worldcup #Threelions #England 🏴󠁧󠁢󠁥󠁮󠁧󠁿 https://t.co/aWHrEpV8yJ",3LionsOnMaShirt,Sharing the latest #ThreeLions news and fan talk from the Qatar 2022 FIFA World Cup,"Manchester, England","[{'text': 'Itscominghome', 'indices': [40, 54]}, {'text': 'Worldcup', 'indices': [55, 64]}, {'text': 'Threelions', 'indices': [65, 76]}, {'text': 'England', 'indices': [77, 85]}]",1,,False,1265,2116,0,2022-09-18 17:08:28+00:00,4,False,False,157,,False,1,False,en,VillaBotMan,,w
1601532286507552768,2022-12-10 11:00:26+00:00,"Guess the Quarter Final Winners ⚽️🥂

The four #WorldcupQatar2022 teams that will progress to the Semi-Finals are:

1. ___________

2. ___________

3. ___________

4. ___________

Go in comments with your predictions👇👇
#FIFAWorldCup2022 #WorldCup #QuarterFinal #FIFAWorldCup https://t.co/ZDLBNM3qQq",EdehRonald,crypto enthusiast/trader,,"[{'text': 'WorldcupQatar2022', 'indices': [64, 82]}]",1,,False,78,136,1,2020-10-20 22:04:07+00:00,305,False,False,92,,False,24,False,en,Twitter for Android,,w
1601532281969324033,2022-12-10 11:00:25+00:00,"🎙️We are going to have a Twitter Space to talk about the #WorldCup and #crypto adoption! ⚽️🔥

@Bitboy_Crypto will be joining us! 😍

⏰ 1PM, Dec 13 (UTC)

☑️ Set a reminder: https://t.co/rEQS19WBxb

🎁 Follow us &amp; RT, 2 lucky ppl will win an exclusive #BitgetxMessi domain!",rizkyramadhaans,•manusialucu• •manusiasantuy•,,"[{'text': 'WorldCup', 'indices': [75, 84]}, {'text': 'crypto', 'indices': [89, 96]}]",2,,False,347,254,1,2012-02-18 14:15:45+00:00,77,True,False,9366,,False,16,False,en,Twitter for Android,,w
1601532256664793088,2022-12-10 11:00:19+00:00,"1/It's Matchday⚽️

Show support to your #worldcup team &amp; Win $500 in #UFT🎉

🏦Fans can lend &amp; borrow #ARG #BRT #VATRENI #NED on #UniLendV2 testnet

💰Participate:https://t.co/gEjudmDuML

Testnet:https://t.co/l7v9Hgoyhz

Claim tokens from @ChainDropFaucet: https://t.co/CdhEzVrRqb https://t.co/HcJvs56DH5",mylafernando84,"Mother of beautiful daughters
Kayod para sa pamilya 
Online seller
don't reroll me my account is suspended i need money for my kids","Marikina City, National Capita","[{'text': 'worldcup', 'indices': [61, 70]}, {'text': 'UFT', 'indices': [94, 98]}, {'text': 'ARG', 'indices': [129, 133]}, {'text': 'BRT', 'indices': [134, 138]}, {'text': 'VATRENI', 'indices': [139, 147]}]",1,,False,47,1157,0,2022-11-04 02:53:32+00:00,2031,False,False,3575,,False,4472,False,en,Twitter for Android,,w
1601532256589611013,2022-12-10 11:00:19+00:00,"Argentina team trying to justify actions by saying that Netherlands taunted before and during the match. It’s no excuse. Experienced professionals know match taunts are just tactics. Bad taste after the match. Move on &amp; enjoy your success. 

#argentina #netherlands #worldcup",RamblingSouth,Just whatever is on my mind at the time,"London, England",[],0,,False,0,12,0,2021-04-19 11:28:46+00:00,10,False,False,9,,False,0,False,en,Twitter for iPhone,,w
1601532241800499200,2022-12-10 11:00:16+00:00,Live score: #Morocco v #Portugal (World Cup 2022) https://t.co/rrOOgZd715 ..  Match kicks off at 17:00 Cairo time (15:00 GMT) #FIFAWorldCup https://t.co/D54qajZgzQ,AO_Sports,"The sports account of Ahram Online, the English-language news website published by Al-Ahram Establishment.","Cairo, Egypt","[{'text': 'Morocco', 'indices': [12, 20]}, {'text': 'Portugal', 'indices': [23, 32]}]",0,,False,17019,1419,240,2011-10-30 09:42:23+00:00,0,False,False,164992,,False,0,False,en,Twitter Web App,,w
1601532241082912768,2022-12-10 11:00:15+00:00,"""The #Croatian fan token just exploded by 17% after their victory against #Brazil! 

Congrats to the Croatian team and their dedicated fans #Croatia #WorldCup https://t.co/xI4au0Ugyp",TrxCoin9,Join Satoshi Club - a web3 community that rewards members with $USDT for their discord engagement  https://t.co/eiE0EN8m85,Crypto Exchange ,"[{'text': 'Croatian', 'indices': [23, 32]}, {'text': 'Brazil', 'indices': [92, 99]}]",1,,False,40,123,1,2022-02-14 09:32:34+00:00,1661,False,False,1680,,False,16,False,en,Twitter for Android,,w
